Subject,Name,Training,Nivel,BLPS,MPDC,APCPS,PD,Entropy,TTP,PDS
s12,SequenceMemory_r03,False,1,4.086545259,-0.067293808,-0.016467163,0.142724003,2.008100134,3229420,5.44E-08
s12,SequenceMemory_r07,False,6,3.73290651,0.330929302,0.088651913,0.666474636,2.024053892,10107085,6.78E-08
s12,SequenceMemory_r08,False,3,3.927223439,0.072728482,0.018519059,0.338424787,2.000346045,5980468,5.88E-08
s12,SequenceMemory_r09,False,3,3.87644377,0.094618552,0.024408596,0.333480264,1.989845023,5342641,8.21E-08
s13,SequenceMemory_r12,False,3,4.03001622,-0.240531657,-0.059685034,0.064497369,1.922996622,2751023,1.90E-08
s13,SequenceMemory_r13,False,3,3.77593381,-0.02634575,-0.006977281,0.092637459,1.906949427,2611604,9.91E-08
s13,SequenceMemory_r15,False,3,4.25469691,-0.331355185,-0.077879857,-0.043919468,1.972708186,2033376,0
s13,SequenceMemory_r16,False,1,3.797825926,-0.052182501,-0.013740098,0.133384354,1.90558934,6777958,6.11E-09
s13,SequenceMemory_r21,False,6,3.784366002,0.06054162,0.015997824,0.544583053,1.943513569,13535794,1.59E-08
s13,SequenceMemory_r22,False,6,3.9951951,-0.114561257,-0.028674759,0.179859894,1.956914523,3149697,2.28E-08
s13,SequenceMemory_r24,False,1,3.706441318,0.008013698,0.0021621,0.207016324,1.89347222,3608227,2.51E-09
s13,SequenceMemory_r28,False,1,3.552840074,0.147509558,0.041518772,0.324800165,1.888020156,4246196,1.19E-07
s13,SequenceMemory_r29,False,1,3.771236106,0.033102094,0.008777518,0.153847056,1.927855593,3947060,7.84E-08
s13,SequenceMemory_r03,False,6,3.846164703,0.006301906,0.001638491,0.212977526,1.946114559,13136873,4.87E-09
s13,SequenceMemory_r05,False,3,3.815220981,-0.063141321,-0.016549846,0.16047907,1.908429209,9768095,-1.11E-08
s13,SequenceMemory_r06,False,1,4.008039685,-0.240393774,-0.059977893,0.042657441,1.915065702,2033659,0
s13,SequenceMemory_r07,False,6,3.567065692,0.258207291,0.072386469,0.457886443,1.936377364,13236844,3.07E-08
s13,SequenceMemory_r09,False,6,3.564089115,0.191340483,0.053685662,0.362866774,1.90931593,8591926,2.71E-08
s14,SequenceMemory_r10,False,6,3.340504665,0.30845346,0.092337383,0.66728417,1.869059029,8930918,8.83E-08
s14,SequenceMemory_r13,False,6,3.237025099,0.262183134,0.080995088,0.452545006,1.80757072,7236474,6.73E-08
s14,SequenceMemory_r15,False,3,3.183270311,0.263338633,0.082725816,0.482869239,1.785836227,5920790,9.13E-08
s14,SequenceMemory_r16,False,1,3.561092503,-0.171286095,-0.048099311,0.001242974,1.761635341,2033354,0
s14,SequenceMemory_r19,False,6,3.71533051,0.050362671,0.013555368,0.348905049,1.913542527,9110379,2.01E-08
s14,SequenceMemory_r22,False,3,3.571071609,0.001898487,0.00053163,0.222651112,1.83778167,6080238,-4.28E-08
s14,SequenceMemory_r23,False,3,3.426867857,-0.045552926,-0.013292875,0.132306478,1.758058156,8233224,2.98E-08
s14,SequenceMemory_r25,False,3,3.697306713,-0.295271752,-0.079861309,0.086734679,1.767292936,6080251,-6.28E-08
s14,SequenceMemory_r26,False,1,3.363007124,0.029774928,0.008853662,0.239806156,1.762814468,4126471,9.33E-08
s14,SequenceMemory_r27,False,3,3.256037231,0.164584154,0.050547381,0.42103012,1.775369035,8711607,1.67E-08
s14,SequenceMemory_r32,False,6,3.456489608,0.104838788,0.030331,0.525485871,1.834701581,13376479,4.55E-08
s14,SequenceMemory_r05,False,6,3.277671199,0.152141103,0.046417439,0.389476861,1.779276254,8631879,5.48E-08
s14,SequenceMemory_r06,False,3,3.794078044,-0.0380434,-0.010027047,0.254229987,1.909818927,6100107,7.81E-08
s14,SequenceMemory_r07,False,3,3.712368129,-0.017782166,-0.004789979,0.180350492,1.885803194,12997681,5.12E-09
s14,SequenceMemory_r09,False,6,3.626991893,0.097352275,0.026841051,0.323160591,1.897466554,8133482,2.43E-08
s15,SequenceMemory_r11,False,6,3.505904455,0.093994899,0.026810457,0.23350474,1.848101631,10465919,2.01E-08
s15,SequenceMemory_r14,False,1,3.626812857,-0.148753216,-0.041014859,0.073990482,1.799261593,2431985,2.71E-07
s15,SequenceMemory_r15,False,6,3.497927351,0.168012111,0.048031904,0.391499087,1.87477522,7415934,6.96E-08
s15,SequenceMemory_r17,False,3,3.467255932,0.096777066,0.027911717,0.266484154,1.833921936,8811242,9.93E-09
s15,SequenceMemory_r19,False,3,3.474147092,0.069962066,0.020137911,0.349298105,1.825949809,5661475,6.55E-08
